Age,Gender,Married,Dependents,Education,Employment_Type,Monthly_Income,Monthly_Expenses,Existing_EMI,Savings,Credit_Score,Credit_History,Loan_Type,Loan_Amount,Loan_Tenure,Property_Area,Debt_Ratio,Savings_Ratio,Financial_Score,Loan_Status
52,Male,Yes,3,Graduate,Business,145475,65455,11193,601936,656,0,Personal,3503140,60,Semiurban,0.53,4.14,57.44,Rejected
56,Male,No,4,Not Graduate,Self Employed,174805,59190,15635,1312068,549,0,Education,3319685,60,Semiurban,0.43,7.51,63.56,Rejected
34,Female,No,4,Not Graduate,Private,65373,10104,12113,1214160,798,0,Education,2829469,300,Urban,0.34,18.57,77.89,Approved
49,Male,No,3,Graduate,Government,199701,111701,39086,804633,635,1,Personal,859445,120,Urban,0.76,4.03,51.62,Approved
58,Male,Yes,1,Not Graduate,Business,122231,63610,6411,441303,624,1,Vehicle,3746754,180,Urban,0.57,3.61,52.66,Approved
58,Male,No,1,Not Graduate,Government,116789,64052,17985,121416,300,1,Personal,2467342,60,Urban,0.7,1.04,29.01,Rejected
48,Female,No,3,Not Graduate,Self Employed,134082,76449,13842,1399337,477,1,Home,1678961,300,Semiurban,0.67,10.44,56.36,Approved
44,Female,Yes,2,Graduate,Private,23041,6175,5311,42941,447,1,Education,1238969,60,Urban,0.5,1.86,39.56,Rejected
47,Female,No,4,Graduate,Self Employed,153540,60590,36179,953814,693,1,Home,1658528,240,Rural,0.63,6.21,60.46,Approved
21,Female,Yes,4,Not Graduate,Self Employed,163174,80543,24049,80174,338,1,Vehicle,1049291,300,Semiurban,0.64,0.49,33.3,Rejected
26,Male,No,3,Graduate,Government,84285,35962,20665,1401957,379,1,Personal,2981874,300,Urban,0.67,16.63,50.06,Rejected
51,Female,No,4,Not Graduate,Self Employed,112514,57312,9654,616514,471,0,Vehicle,4828710,180,Urban,0.6,5.48,48.54,Rejected
51,Male,Yes,2,Graduate,Business,147076,15814,8311,1070311,378,1,Vehicle,1211815,300,Semiurban,0.16,7.28,62.32,Approved
38,Female,Yes,0,Graduate,Private,192793,63543,24233,377839,567,0,Education,1616737,300,Urban,0.46,1.96,53.17,Rejected
42,Male,Yes,4,Graduate,Self Employed,217331,59125,50486,813559,543,1,Home,1868794,300,Rural,0.5,3.74,55.18,Approved
43,Male,No,0,Graduate,Private,141638,57264,31210,642012,787,0,Education,3372148,240,Semiurban,0.62,4.53,60.97,Rejected
30,Female,Yes,2,Not Graduate,Self Employed,197862,46377,34750,1442095,342,0,Vehicle,3722082,300,Rural,0.41,7.29,55.39,Rejected
38,Female,No,2,Graduate,Business,191532,81569,25634,977014,547,0,Vehicle,1609250,180,Rural,0.56,5.1,55.38,Rejected
21,Male,Yes,0,Not Graduate,Government,157694,18619,29225,747183,524,1,Vehicle,1719668,60,Urban,0.3,4.74,59.97,Approved
60,Male,Yes,4,Graduate,Government,205617,20725,5661,1278118,433,1,Home,1029835,120,Semiurban,0.13,6.22,66.05,Approved
39,Female,Yes,3,Not Graduate,Self Employed,201461,92500,21194,549673,465,0,Vehicle,623343,240,Semiurban,0.56,2.73,47.25,Rejected
42,Male,No,2,Graduate,Self Employed,38192,21112,3287,1289895,702,0,Education,1009580,120,Rural,0.64,33.77,63.56,Rejected
48,Male,Yes,3,Not Graduate,Government,29138,6194,576,1208196,556,1,Personal,4275021,120,Rural,0.23,41.46,68.91,Rejected
21,Male,No,2,Graduate,Business,122584,5485,16888,1493956,802,1,Education,3488265,60,Rural,0.18,12.19,85.07,Approved
35,Male,No,3,Graduate,Business,107409,49684,9923,850150,356,0,Vehicle,4584770,180,Urban,0.55,7.92,49.3,Rejected
50,Female,Yes,1,Graduate,Self Employed,193207,30035,19586,1469370,699,0,Vehicle,4181087,60,Rural,0.26,7.61,76.3,Approved
49,Male,Yes,0,Graduate,Government,208675,82718,15629,1035995,698,0,Vehicle,4291654,300,Semiurban,0.47,4.96,65.16,Rejected
22,Male,No,0,Not Graduate,Government,126301,20491,6936,1381222,835,1,Home,4959904,120,Urban,0.22,10.94,85.65,Approved
23,Male,No,0,Not Graduate,Government,83617,47518,4277,40126,476,0,Vehicle,916146,240,Rural,0.62,0.48,36.88,Rejected
31,Male,Yes,0,Not Graduate,Private,36543,11640,6983,717459,711,1,Personal,4931561,300,Urban,0.51,19.63,67.77,Approved
41,Male,Yes,4,Graduate,Business,36573,8956,4487,306195,725,0,Vehicle,4742320,120,Semiurban,0.37,8.37,69.4,Rejected
36,Male,Yes,0,Not Graduate,Private,24097,12978,661,23316,307,0,Personal,2480112,240,Rural,0.57,0.97,29.56,Rejected
51,Male,Yes,1,Not Graduate,Self Employed,128011,36359,30739,376055,338,0,Education,838375,180,Semiurban,0.52,2.94,40.29,Rejected
47,Male,Yes,1,Graduate,Government,182246,52435,35371,1074390,524,1,Home,2418834,60,Urban,0.48,5.9,57.92,Approved
28,Male,No,3,Graduate,Private,195673,10651,3540,1362371,672,1,Home,3746290,180,Semiurban,0.07,6.96,79.44,Approved
60,Female,Yes,0,Graduate,Private,61430,30739,476,1027247,827,0,Personal,2073838,240,Rural,0.51,16.72,73.97,Rejected
58,Female,No,1,Not Graduate,Private,224203,19435,21373,487693,400,0,Education,1777351,240,Urban,0.18,2.18,55.64,Rejected
25,Female,No,0,Not Graduate,Private,76666,44939,14909,383420,696,1,Home,3939803,120,Rural,0.78,5.0,50.58,Rejected
43,Female,Yes,2,Graduate,Government,201458,79536,3909,598469,439,0,Education,3946838,240,Urban,0.41,2.97,51.08,Rejected
42,Male,No,4,Graduate,Private,171551,77450,15053,191349,721,1,Home,4071913,240,Semiurban,0.54,1.12,54.96,Approved
21,Female,Yes,1,Not Graduate,Self Employed,171903,34151,38782,322412,887,0,Education,470979,60,Semiurban,0.42,1.88,67.32,Rejected
53,Male,No,4,Not Graduate,Self Employed,232262,30689,29651,1048688,546,0,Personal,3510959,120,Urban,0.26,4.52,64.79,Rejected
43,Female,Yes,0,Graduate,Self Employed,195383,44955,10603,1484936,770,0,Education,3990306,120,Rural,0.28,7.6,78.71,Approved
46,Male,No,3,Graduate,Government,120893,48634,17397,78606,603,1,Vehicle,4650275,300,Urban,0.55,0.65,46.55,Rejected
26,Female,Yes,4,Not Graduate,Government,49089,17548,5989,985915,341,1,Vehicle,1570249,300,Rural,0.48,20.08,52.73,Rejected
25,Male,Yes,2,Graduate,Government,190141,67717,38018,1483969,514,0,Vehicle,3058759,180,Rural,0.56,7.8,59.38,Rejected
48,Female,Yes,0,Not Graduate,Business,138596,68730,32863,1114533,425,1,Vehicle,3891469,300,Semiurban,0.73,8.04,48.53,Rejected
25,Male,No,0,Graduate,Self Employed,66874,23898,2521,239354,468,1,Personal,1341128,240,Urban,0.4,3.58,48.78,Approved
34,Male,No,3,Graduate,Self Employed,110885,32533,14544,1362001,321,1,Home,628058,60,Urban,0.42,12.28,55.97,Approved
54,Female,No,4,Not Graduate,Business,147440,82772,34744,1160222,755,1,Vehicle,4858451,120,Semiurban,0.8,7.87,61.28,Approved
31,Female,Yes,3,Not Graduate,Business,221785,115823,3101,321088,661,1,Education,1495554,300,Urban,0.54,1.45,55.06,Approved
55,Female,Yes,1,Graduate,Private,82365,12662,1348,674012,888,0,Education,2284453,180,Urban,0.17,8.18,84.02,Approved
34,Male,No,2,Graduate,Business,137552,75761,10655,1129130,608,0,Personal,3493714,240,Urban,0.63,8.21,60.09,Rejected
50,Female,Yes,0,Not Graduate,Business,144232,42988,9639,1195376,752,1,Personal,4117985,60,Urban,0.36,8.29,74.82,Approved
56,Male,No,0,Not Graduate,Private,136909,51844,6060,694440,356,0,Home,2431422,120,Urban,0.42,5.07,48.75,Rejected
26,Female,Yes,4,Not Graduate,Private,148572,46649,33525,127540,669,1,Home,3687308,180,Semiurban,0.54,0.86,51.2,Approved
44,Male,No,2,Not Graduate,Business,136805,78535,5740,462345,754,1,Education,2521237,120,Rural,0.62,3.38,57.26,Approved
48,Female,Yes,4,Graduate,Private,74469,24872,15552,1111636,643,0,Education,841957,60,Semiurban,0.54,14.93,65.27,Rejected
38,Female,Yes,4,Not Graduate,Private,72234,17190,12509,617048,867,1,Personal,2633300,300,Semiurban,0.41,8.54,76.17,Approved
52,Female,Yes,0,Graduate,Private,88859,24671,20989,1344964,783,0,Vehicle,3599364,120,Semiurban,0.51,15.14,72.94,Approved
36,Male,Yes,2,Not Graduate,Government,176995,102722,23708,1228583,792,1,Vehicle,4093318,60,Semiurban,0.71,6.94,64.73,Approved
53,Male,No,1,Graduate,Private,103802,35214,22717,294158,665,0,Personal,2387324,180,Semiurban,0.56,2.83,52.63,Rejected
43,Male,No,2,Graduate,Private,220918,87317,12009,208199,471,1,Vehicle,2625577,180,Rural,0.45,0.94,48.17,Rejected
44,Male,No,1,Graduate,Private,155835,41885,24445,1026906,721,1,Home,959143,120,Urban,0.43,6.59,68.69,Approved
53,Male,Yes,4,Graduate,Self Employed,140715,15013,7639,285213,317,1,Vehicle,2713667,180,Urban,0.16,2.03,48.94,Approved
49,Female,Yes,2,Graduate,Government,78289,13435,4664,1452939,532,1,Home,1860273,120,Urban,0.23,18.56,69.84,Approved
48,Male,Yes,0,Not Graduate,Self Employed,31145,8217,883,78771,825,0,Education,1097591,180,Urban,0.29,2.53,64.21,Rejected
25,Female,Yes,0,Graduate,Private,174036,31217,12109,1416351,659,0,Personal,1321020,180,Rural,0.25,8.14,75.06,Approved
43,Female,Yes,4,Graduate,Government,45979,23944,229,1119055,522,0,Vehicle,1540940,300,Urban,0.53,24.34,59.27,Rejected
27,Male,No,2,Graduate,Self Employed,196560,19067,11852,754116,688,1,Home,4413850,120,Semiurban,0.16,3.84,71.39,Approved
28,Female,Yes,3,Graduate,Private,149975,52349,18892,1178390,341,0,Vehicle,4241563,60,Semiurban,0.48,7.86,52.62,Rejected
39,Female,No,3,Graduate,Self Employed,96176,33046,6186,155980,787,1,Home,207255,240,Rural,0.41,1.62,59.83,Approved
27,Female,No,4,Graduate,Government,57582,17937,6563,1467598,404,0,Personal,3151020,120,Semiurban,0.43,25.49,57.49,Rejected
33,Female,Yes,1,Not Graduate,Self Employed,93011,55123,19068,1254974,579,1,Vehicle,4091520,300,Semiurban,0.8,13.49,55.52,Rejected
52,Female,Yes,3,Graduate,Government,85716,37069,16294,494068,437,0,Personal,543358,60,Semiurban,0.62,5.76,45.7,Rejected
22,Male,No,4,Not Graduate,Private,99364,45761,20422,212026,378,1,Education,1793926,180,Rural,0.67,2.13,35.06,Rejected
52,Female,No,4,Not Graduate,Government,220268,9141,28207,259842,692,1,Vehicle,3256939,240,Semiurban,0.17,1.18,66.84,Approved
23,Male,Yes,4,Not Graduate,Private,148838,61450,8813,665275,698,1,Personal,4871903,240,Rural,0.47,4.47,61.75,Approved
56,Female,No,4,Graduate,Government,122599,39523,16210,1249511,686,1,Vehicle,2788404,60,Urban,0.45,10.19,71.75,Approved
58,Male,Yes,2,Not Graduate,Government,220591,121830,40970,725666,689,0,Education,2995269,180,Semiurban,0.74,3.29,53.88,Rejected
43,Male,Yes,1,Graduate,Business,175328,16133,4292,649447,417,1,Home,265356,300,Semiurban,0.12,3.7,59.46,Approved
23,Female,No,4,Not Graduate,Business,25348,12695,4816,56633,624,1,Education,2804666,300,Urban,0.69,2.23,42.49,Rejected
52,Male,Yes,2,Not Graduate,Business,63680,24629,5952,924339,506,1,Personal,4594901,120,Semiurban,0.48,14.52,60.63,Rejected
37,Male,No,4,Not Graduate,Private,183727,102371,6026,1222559,397,1,Vehicle,664299,300,Rural,0.59,6.65,50.6,Approved
51,Female,Yes,2,Graduate,Business,152288,44309,28371,1401369,852,1,Home,3575519,240,Semiurban,0.48,9.2,78.04,Approved
60,Female,Yes,0,Graduate,Self Employed,75824,35624,8779,1347828,845,1,Personal,4481114,120,Semiurban,0.59,17.78,73.02,Approved
50,Male,Yes,1,Not Graduate,Self Employed,127547,46766,28186,145114,508,1,Vehicle,2507904,120,Semiurban,0.59,1.14,42.33,Rejected
59,Male,No,1,Graduate,Private,70309,6815,8047,661250,775,1,Education,3640153,60,Urban,0.21,9.4,79.73,Approved
31,Female,Yes,0,Not Graduate,Business,192666,77182,11533,1361182,343,1,Personal,564118,60,Semiurban,0.46,7.06,53.27,Approved
59,Female,Yes,3,Not Graduate,Government,124043,23423,7734,244739,884,0,Vehicle,4264533,60,Urban,0.25,1.97,70.66,Rejected
59,Male,No,2,Not Graduate,Private,130852,33574,4727,234005,479,0,Vehicle,3786586,240,Semiurban,0.29,1.79,51.32,Rejected
58,Male,No,4,Not Graduate,Government,102965,40765,13886,1005841,552,1,Home,3145048,240,Rural,0.53,9.77,62.27,Approved
44,Female,Yes,4,Graduate,Government,201058,108389,44013,512636,559,1,Vehicle,3143849,60,Rural,0.76,2.55,45.25,Rejected
36,Female,No,0,Not Graduate,Business,98876,10914,7715,633741,515,0,Education,2760735,240,Urban,0.19,6.41,64.01,Rejected
38,Male,No,3,Not Graduate,Business,208058,60360,6579,346264,567,0,Vehicle,3630517,300,Rural,0.32,1.66,57.2,Rejected
56,Female,No,0,Graduate,Private,185191,63117,42015,295406,303,1,Home,2663118,180,Rural,0.57,1.6,37.03,Rejected
26,Male,Yes,1,Graduate,Self Employed,227786,88728,29588,1013205,436,1,Home,2847943,180,Urban,0.52,4.45,51.8,Approved
26,Female,No,1,Not Graduate,Self Employed,238806,63847,1358,58171,871,0,Personal,3979101,120,Semiurban,0.27,0.24,70.56,Approved
31,Male,No,4,Not Graduate,Business,59125,7918,6028,366773,880,0,Personal,4511046,240,Semiurban,0.24,6.2,76.81,Approved
52,Male,Yes,1,Graduate,Business,95487,53918,16192,811266,433,1,Home,1908303,180,Rural,0.73,8.5,48.03,Approved
33,Female,Yes,3,Graduate,Government,96072,22157,7716,1305369,761,0,Vehicle,4989745,240,Urban,0.31,13.59,78.34,Approved
21,Female,Yes,2,Not Graduate,Private,206996,55265,46429,897705,562,0,Personal,4772454,60,Urban,0.49,4.34,57.19,Rejected
42,Male,No,2,Graduate,Government,86494,38065,20304,808884,609,1,Vehicle,1209294,300,Urban,0.67,9.35,58.99,Approved
58,Male,No,1,Not Graduate,Business,142705,22290,5875,675462,843,1,Home,2284443,60,Semiurban,0.2,4.73,76.72,Approved
23,Male,No,2,Not Graduate,Self Employed,94167,22250,20084,563140,829,1,Education,1483984,180,Rural,0.45,5.98,69.08,Approved
52,Male,No,0,Graduate,Private,34304,8766,3000,85208,781,1,Home,4018594,240,Urban,0.34,2.48,60.76,Approved
52,Male,No,2,Not Graduate,Self Employed,149233,19744,9702,269321,657,0,Home,2483341,120,Urban,0.2,1.8,62.86,Rejected
53,Female,Yes,4,Graduate,Private,129161,15070,8066,1054614,396,1,Personal,2484723,60,Semiurban,0.18,8.17,63.72,Approved
44,Male,No,1,Graduate,Government,140647,67895,29756,1327759,575,0,Vehicle,467815,300,Semiurban,0.69,9.44,59.23,Rejected
41,Male,Yes,0,Not Graduate,Business,229229,19558,48745,158319,860,1,Personal,3445867,180,Urban,0.3,0.69,69.83,Approved
36,Female,Yes,0,Graduate,Private,121843,57742,9336,1367209,457,0,Vehicle,4217507,240,Rural,0.55,11.22,58.67,Rejected
40,Male,No,0,Not Graduate,Private,148351,63385,25433,1009166,574,1,Personal,3644491,180,Rural,0.6,6.8,57.09,Approved
32,Female,No,0,Graduate,Business,141510,34390,10162,1048766,839,0,Vehicle,4027707,240,Urban,0.31,7.41,78.33,Approved
51,Female,Yes,1,Not Graduate,Private,157125,61063,19364,1202305,348,0,Personal,4406833,60,Rural,0.51,7.65,51.7,Rejected
48,Female,Yes,3,Not Graduate,Business,86810,43375,2679,1065799,316,0,Education,1606192,120,Semiurban,0.53,12.28,51.6,Rejected
23,Male,No,2,Not Graduate,Self Employed,218535,92852,29487,1318225,571,1,Home,1870569,120,Urban,0.56,6.03,59.39,Approved
59,Female,Yes,3,Graduate,Government,123529,20293,435,370155,788,1,Education,4182924,180,Rural,0.17,3.0,70.92,Approved
60,Female,No,2,Graduate,Private,55419,5454,3126,244697,316,0,Personal,1855144,240,Rural,0.15,4.42,50.45,Rejected
30,Male,No,4,Graduate,Government,98883,55444,15185,320725,785,1,Personal,1076927,120,Urban,0.71,3.24,53.9,Approved
49,Female,No,0,Not Graduate,Private,72779,24322,12836,116791,641,0,Personal,3722099,240,Semiurban,0.51,1.6,49.29,Rejected
58,Female,Yes,3,Not Graduate,Self Employed,154573,82468,31975,496341,362,0,Education,4935221,180,Rural,0.74,3.21,36.48,Rejected
25,Female,No,3,Graduate,Self Employed,183236,89696,22725,950206,746,0,Home,2516009,120,Semiurban,0.61,5.19,62.45,Approved
43,Female,Yes,4,Graduate,Business,177836,98742,43054,992447,434,1,Education,3596884,180,Semiurban,0.8,5.58,43.64,Approved
31,Male,No,0,Not Graduate,Private,65427,18073,2561,1280347,803,0,Education,4241666,180,Urban,0.32,19.57,78.84,Approved
34,Male,Yes,2,Not Graduate,Business,197452,25788,11450,1065871,332,0,Vehicle,3712306,60,Rural,0.19,5.4,57.79,Approved
35,Male,Yes,3,Not Graduate,Business,225753,51562,50421,107887,870,1,Home,4423383,300,Rural,0.45,0.48,65.1,Approved
27,Male,No,3,Graduate,Government,224905,85028,39954,223632,875,0,Personal,1501285,60,Urban,0.56,0.99,63.2,Rejected
44,Male,No,3,Not Graduate,Government,60447,26203,5959,711722,441,0,Home,3783508,240,Urban,0.53,11.77,56.06,Rejected
36,Female,No,2,Graduate,Government,89734,29407,13599,766324,551,0,Education,2014129,120,Semiurban,0.48,8.54,60.78,Rejected
47,Female,No,4,Not Graduate,Government,136019,24082,651,1094958,371,0,Vehicle,2740772,240,Urban,0.18,8.05,62.57,Approved
48,Male,No,0,Graduate,Government,185572,98502,43277,1100054,602,1,Education,4744020,180,Rural,0.76,5.93,53.11,Approved
41,Female,Yes,2,Graduate,Self Employed,136965,31887,28976,1472702,653,1,Home,2629428,60,Urban,0.44,10.75,71.17,Approved
55,Female,No,1,Not Graduate,Private,44332,21766,9040,664840,833,1,Home,296475,60,Rural,0.69,15.0,67.95,Approved
58,Female,Yes,2,Not Graduate,Government,211885,12857,24443,554748,819,1,Personal,500412,60,Semiurban,0.18,2.62,74.83,Approved
40,Male,No,2,Graduate,Private,111838,24608,9323,1408637,886,0,Education,4459279,120,Urban,0.3,12.6,84.75,Approved
41,Male,No,3,Graduate,Private,206552,60796,27004,181855,394,0,Education,1191050,240,Urban,0.43,0.88,44.78,Rejected
49,Male,No,4,Not Graduate,Self Employed,248593,74125,38292,1056116,733,1,Education,3597398,120,Urban,0.45,4.25,67.45,Approved
53,Male,No,3,Graduate,Government,202051,32871,29847,1002698,333,0,Vehicle,1096281,300,Semiurban,0.31,4.96,53.5,Rejected
28,Male,No,4,Not Graduate,Government,157042,25093,7716,789023,612,1,Vehicle,2566093,240,Urban,0.21,5.02,67.26,Approved
30,Male,No,0,Not Graduate,Business,76513,16998,16016,14374,425,1,Personal,474823,240,Semiurban,0.43,0.19,39.38,Rejected
57,Female,No,2,Not Graduate,Self Employed,238748,39815,49935,300502,816,1,Education,3867111,120,Rural,0.38,1.26,67.06,Approved
41,Male,No,3,Graduate,Self Employed,108866,40454,1501,1416022,753,1,Personal,1489277,60,Rural,0.39,13.01,76.26,Approved
40,Male,Yes,1,Graduate,Private,216754,67368,32940,49141,423,0,Personal,2406552,120,Urban,0.46,0.23,44.04,Rejected
58,Female,Yes,4,Not Graduate,Self Employed,174374,10896,32209,58786,648,1,Home,3580739,60,Rural,0.25,0.34,59.03,Approved
41,Female,No,0,Graduate,Government,162024,27040,18700,312061,487,1,Personal,1393752,180,Semiurban,0.28,1.93,53.51,Approved
31,Male,No,1,Graduate,Government,98125,30555,3235,681175,445,1,Vehicle,2263709,240,Urban,0.34,6.94,57.26,Approved
24,Male,Yes,4,Graduate,Self Employed,153332,71115,25234,251343,575,0,Vehicle,3999222,300,Semiurban,0.63,1.64,46.12,Rejected
25,Female,Yes,3,Graduate,Government,90558,41311,19207,1425781,403,0,Home,2655277,300,Semiurban,0.67,15.74,51.49,Rejected
49,Male,Yes,1,Not Graduate,Private,225002,37133,35227,898673,868,1,Personal,108397,240,Rural,0.32,3.99,75.92,Approved
39,Male,Yes,0,Not Graduate,Business,176727,37884,24913,746976,517,1,Personal,1454058,300,Rural,0.36,4.23,57.84,Approved
25,Female,Yes,3,Graduate,Private,210073,77938,18314,915890,515,1,Vehicle,2292451,240,Semiurban,0.46,4.36,56.27,Approved
36,Female,No,1,Not Graduate,Business,24161,7190,5295,14293,787,0,Personal,1555725,240,Rural,0.52,0.59,51.63,Rejected
52,Female,Yes,0,Graduate,Self Employed,196225,21176,23133,799318,666,1,Home,170727,60,Semiurban,0.23,4.07,68.82,Approved
44,Male,No,0,Graduate,Government,218815,41848,44600,1497295,666,0,Personal,2643245,120,Urban,0.4,6.84,70.19,Approved
52,Female,Yes,2,Not Graduate,Private,21870,6606,5230,840652,413,1,Education,1530065,300,Urban,0.54,38.44,52.99,Rejected
57,Male,Yes,4,Graduate,Government,53405,13507,9337,488077,835,1,Home,293923,300,Rural,0.43,9.14,74.69,Approved
37,Female,Yes,3,Graduate,Business,133389,58330,17959,265260,830,1,Education,3132245,300,Urban,0.57,1.99,59.04,Approved
35,Male,No,3,Not Graduate,Business,21352,8210,1594,711928,383,0,Home,3655261,60,Urban,0.46,33.34,54.1,Rejected
33,Male,No,2,Graduate,Government,27306,12863,3538,60380,642,1,Home,1004632,240,Urban,0.6,2.21,46.03,Rejected
42,Male,No,4,Graduate,Government,223358,83638,40603,929662,397,1,Personal,817517,60,Urban,0.56,4.16,48.22,Approved
45,Female,Yes,1,Graduate,Self Employed,34362,9939,7075,147972,404,0,Personal,2573941,240,Semiurban,0.5,4.31,43.09,Rejected
27,Female,Yes,4,Graduate,Self Employed,120642,65844,26055,907802,403,1,Personal,3909071,300,Semiurban,0.76,7.52,44.93,Rejected
58,Male,Yes,0,Graduate,Government,175421,30377,37566,274202,821,1,Vehicle,3631662,240,Rural,0.39,1.56,65.01,Approved
60,Female,Yes,1,Graduate,Government,35857,9183,5106,1235832,746,1,Vehicle,4996144,300,Urban,0.4,34.47,72.63,Approved
30,Female,No,4,Not Graduate,Business,116686,68587,264,1095654,900,0,Personal,2091349,300,Rural,0.59,9.39,75.75,Approved
24,Female,No,1,Graduate,Private,225852,13965,22383,407107,787,1,Vehicle,4952061,300,Semiurban,0.16,1.8,72.79,Approved
60,Female,No,2,Graduate,Government,139092,10530,32501,470127,303,0,Home,4013593,300,Urban,0.31,3.38,46.51,Rejected
36,Female,No,3,Graduate,Self Employed,68298,5440,11888,30745,375,1,Personal,4753090,60,Urban,0.25,0.45,42.69,Rejected
39,Female,Yes,4,Not Graduate,Government,27781,8262,1620,605802,478,0,Vehicle,1562004,180,Rural,0.36,21.81,61.68,Rejected
36,Male,Yes,0,Graduate,Business,46526,5687,11099,297820,688,0,Vehicle,1863598,180,Semiurban,0.36,6.4,64.42,Rejected
36,Female,No,1,Not Graduate,Government,51062,9732,2142,407706,496,1,Vehicle,2767171,300,Semiurban,0.23,7.98,63.08,Approved
36,Male,Yes,4,Not Graduate,Private,105899,21198,1745,1330071,586,0,Education,1855211,60,Semiurban,0.22,12.56,73.78,Approved
60,Male,Yes,4,Not Graduate,Business,150701,73012,30426,385387,629,1,Education,4250616,240,Semiurban,0.69,2.56,48.51,Rejected
58,Female,Yes,1,Graduate,Private,138510,35721,25945,468424,613,1,Education,4893002,120,Semiurban,0.45,3.38,56.19,Approved
37,Male,Yes,0,Not Graduate,Self Employed,156005,51081,15084,1234657,342,1,Vehicle,3674405,240,Semiurban,0.42,7.91,54.54,Approved
48,Female,No,3,Not Graduate,Business,120236,8239,5884,936287,539,1,Personal,3112289,60,Semiurban,0.12,7.79,70.82,Approved
53,Male,No,1,Graduate,Government,38703,16804,627,1155099,505,1,Home,2861876,180,Semiurban,0.45,29.85,60.48,Rejected
38,Male,Yes,4,Not Graduate,Government,221870,44252,18471,736940,713,1,Personal,4059456,300,Urban,0.28,3.32,68.73,Approved
46,Male,Yes,1,Not Graduate,Private,155220,81939,36216,993015,772,1,Personal,2726262,120,Semiurban,0.76,6.4,60.48,Approved
47,Male,No,3,Graduate,Business,56424,23923,2102,650830,309,1,Vehicle,2950635,120,Semiurban,0.46,11.53,52.15,Rejected
48,Female,No,2,Graduate,Government,56473,10036,5410,1201582,887,1,Education,1812992,240,Urban,0.27,21.28,83.48,Approved
55,Female,Yes,3,Graduate,Business,169294,64183,41877,648887,395,0,Personal,4738118,120,Urban,0.63,3.83,43.2,Rejected
59,Female,Yes,1,Graduate,Government,121159,42200,6746,498719,598,0,Education,581952,180,Rural,0.4,4.12,57.54,Rejected
21,Male,No,3,Not Graduate,Private,49030,9231,8789,887476,789,0,Education,1832077,120,Urban,0.37,18.1,76.0,Rejected
40,Female,No,1,Not Graduate,Private,151720,65156,18051,433001,307,0,Education,636619,240,Rural,0.55,2.85,38.97,Rejected
36,Female,No,3,Not Graduate,Government,213276,16941,18868,1365387,767,1,Vehicle,3380703,300,Urban,0.17,6.4,80.39,Approved
47,Male,Yes,4,Not Graduate,Self Employed,120837,29044,22889,1202472,397,1,Personal,2110709,120,Semiurban,0.43,9.95,59.49,Approved
55,Female,Yes,1,Not Graduate,Self Employed,219717,77459,7944,783287,378,0,Vehicle,3540135,240,Urban,0.39,3.56,51.06,Rejected
37,Male,Yes,3,Graduate,Government,187475,96027,44277,978682,690,1,Education,1730775,240,Urban,0.75,5.22,56.15,Approved
21,Female,Yes,1,Not Graduate,Self Employed,147076,65470,4471,183117,861,0,Education,1276550,240,Semiurban,0.48,1.25,62.37,Rejected
31,Male,Yes,4,Graduate,Private,97108,13136,17519,829670,472,0,Personal,2392206,120,Semiurban,0.32,8.54,62.48,Approved
43,Male,Yes,0,Graduate,Self Employed,202646,11259,41601,1106547,405,1,Vehicle,3824430,60,Rural,0.26,5.46,59.2,Approved
21,Male,No,1,Graduate,Business,82531,18106,2994,43635,731,0,Personal,2927939,120,Rural,0.26,0.53,59.18,Rejected
25,Male,Yes,1,Graduate,Government,128968,72174,3528,696065,630,0,Home,4644131,240,Semiurban,0.59,5.4,56.34,Rejected
28,Male,Yes,0,Not Graduate,Business,65513,5982,6588,1381522,623,0,Education,1884826,240,Urban,0.19,21.09,74.55,Rejected
25,Female,No,0,Graduate,Private,127766,44522,25150,1265919,811,0,Home,2213427,60,Rural,0.55,9.91,74.61,Approved
41,Female,Yes,2,Graduate,Business,243229,131387,4424,712766,318,1,Education,4386797,120,Rural,0.56,2.93,42.97,Approved
58,Male,Yes,0,Graduate,Business,81969,33082,7980,1309743,381,0,Home,3241731,240,Semiurban,0.5,15.98,55.18,Rejected
33,Male,No,1,Graduate,Private,210135,83390,29080,699312,437,1,Vehicle,432251,300,Semiurban,0.54,3.33,48.43,Approved
39,Male,Yes,2,Not Graduate,Private,73953,40344,1771,1404618,554,0,Education,4474423,180,Urban,0.57,18.99,60.5,Rejected
49,Male,Yes,3,Graduate,Private,33659,15393,2318,438280,428,0,Home,4704063,120,Urban,0.53,13.02,54.58,Rejected
53,Male,No,3,Not Graduate,Private,209182,30891,16051,899227,480,0,Vehicle,2493713,300,Semiurban,0.22,4.3,61.57,Rejected
33,Female,No,0,Not Graduate,Self Employed,119016,26989,15424,935632,732,1,Home,4143315,60,Semiurban,0.36,7.86,72.33,Approved
48,Male,No,4,Graduate,Private,87447,29933,15192,651408,764,1,Education,4815589,300,Semiurban,0.52,7.45,66.87,Approved
25,Female,Yes,3,Graduate,Private,69709,5273,420,1060043,683,1,Education,3588152,240,Rural,0.08,15.21,80.69,Approved
44,Female,No,2,Graduate,Self Employed,30178,7039,3152,1196167,466,0,Education,2241262,180,Rural,0.34,39.64,61.79,Rejected
